Timestamp,Linear Velocity,Angular Velocity,Right Wheel Vel,Left Wheel Vel
1743029193.7542439,0.0,0.0,0.0,0.0
1743029193.7711282,0.0,0.0,0.0,0.0
1743029193.7996154,0.0,0.0,0.0,0.0
1743029193.8098986,0.0,0.0,0.0,0.0
1743029193.8371649,0.0,0.0,0.0,0.0
1743029193.8679624,0.0,0.0,0.0,0.0
1743029193.8928769,0.0,0.0,0.0,0.0
1743029193.9068415,0.1,0.0,4.878048780487805,4.878048780487805
1743029193.923424,0.1,0.0,4.878048780487805,4.878048780487805
1743029193.9488947,0.1,0.0,4.878048780487805,4.878048780487805
1743029193.9615207,0.1,0.0,4.878048780487805,4.878048780487805
1743029194.0123584,0.1,0.0,4.878048780487805,4.878048780487805
1743029194.0205226,0.1,0.0,4.878048780487805,4.878048780487805
1743029194.0489907,0.1,0.0,4.878048780487805,4.878048780487805
1743029194.079167,0.1,0.0,4.878048780487805,4.878048780487805
1743029194.1010342,0.1,0.0,4.878048780487805,4.878048780487805
1743029194.109455,0.1,0.0,4.878048780487805,4.878048780487805
1743029194.1348789,0.1,0.0,4.878048780487805,4.878048780487805
1743029194.1554053,0.1,0.0,4.878048780487805,4.878048780487805
1743029194.1630144,0.1,0.0,4.878048780487805,4.878048780487805
1743029194.1813092,0.1,0.0,4.878048780487805,4.878048780487805
1743029194.2072663,0.1,0.0,4.878048780487805,4.878048780487805
1743029194.21235,0.1,0.0,4.878048780487805,4.878048780487805
1743029194.24023,0.1,0.0,4.878048780487805,4.878048780487805
1743029194.261906,0.1,0.0,4.878048780487805,4.878048780487805
1743029194.2666383,0.1,0.0,4.878048780487805,4.878048780487805
1743029194.279893,0.1,0.0,4.878048780487805,4.878048780487805
1743029194.3143358,0.1,0.0,4.878048780487805,4.878048780487805
1743029194.318461,0.1,0.0,4.878048780487805,4.878048780487805
1743029194.338277,0.1,0.0,4.878048780487805,4.878048780487805
1743029194.3622484,0.1,0.0,4.878048780487805,4.878048780487805
1743029194.3764236,0.1,0.0,4.878048780487805,4.878048780487805
1743029194.4166427,0.1,0.0,4.878048780487805,4.878048780487805
1743029194.4289603,0.1,0.0,4.878048780487805,4.878048780487805
1743029194.4544811,0.1,0.0,4.878048780487805,4.878048780487805
1743029194.4782965,0.1,0.0,4.878048780487805,4.878048780487805
1743029194.5068257,0.1,0.0,4.878048780487805,4.878048780487805
1743029194.5105531,0.1,0.0,4.878048780487805,4.878048780487805
1743029194.5189128,0.1,0.0,4.878048780487805,4.878048780487805
1743029194.5658813,0.1,0.0,4.878048780487805,4.878048780487805
1743029194.5682697,0.1,0.0,4.878048780487805,4.878048780487805
1743029194.5866976,0.1,0.0,4.878048780487805,4.878048780487805
1743029194.6222742,0.1,0.0,4.878048780487805,4.878048780487805
1743029194.6240566,0.1,0.0,4.878048780487805,4.878048780487805
1743029194.6329255,0.1,0.0,4.878048780487805,4.878048780487805
1743029194.6370258,0.1,0.0,4.878048780487805,4.878048780487805
1743029194.6662812,0.1,0.0,4.878048780487805,4.878048780487805
1743029194.6847253,0.1,0.0,4.878048780487805,4.878048780487805
1743029194.7279656,0.1,0.0,4.878048780487805,4.878048780487805
1743029194.7303467,0.1,0.0,4.878048780487805,4.878048780487805
1743029194.739837,0.1,0.0,4.878048780487805,4.878048780487805
1743029194.7811549,0.1,0.0,4.878048780487805,4.878048780487805
1743029194.7839983,0.1,0.0,4.878048780487805,4.878048780487805
1743029194.8066308,0.1,0.0,4.878048780487805,4.878048780487805
1743029194.8342621,0.1,0.0,4.878048780487805,4.878048780487805
1743029194.837051,0.1,0.0,4.878048780487805,4.878048780487805
1743029194.844802,0.1,-4.0,-0.6829268292682926,10.439024390243903
1743029194.8791852,0.1,-4.0,-0.6829268292682926,10.439024390243903
1743029194.881926,0.1,-4.0,-0.6829268292682926,10.439024390243903
1743029194.9070508,0.1,-4.0,-0.6829268292682926,10.439024390243903
1743029194.9284556,0.1,-4.0,-0.6829268292682926,10.439024390243903
1743029194.9324949,0.1,-4.0,-0.6829268292682926,10.439024390243903
1743029194.9412997,0.1,-4.0,-0.6829268292682926,10.439024390243903
1743029194.9750223,0.1,0.0,4.878048780487805,4.878048780487805
1743029194.9770207,0.1,0.0,4.878048780487805,4.878048780487805
1743029195.034554,0.1,0.0,4.878048780487805,4.878048780487805
1743029195.0373623,0.1,0.0,4.878048780487805,4.878048780487805
1743029195.0636444,0.1,0.0,4.878048780487805,4.878048780487805
1743029195.0733893,0.1,0.0,4.878048780487805,4.878048780487805
1743029195.109541,0.1,0.0,4.878048780487805,4.878048780487805
1743029195.1115704,0.1,0.0,4.878048780487805,4.878048780487805
1743029195.1317828,0.1,0.0,4.878048780487805,4.878048780487805
1743029195.1598372,0.1,0.0,4.878048780487805,4.878048780487805
1743029195.161759,0.1,0.0,4.878048780487805,4.878048780487805
1743029195.1711426,0.1,0.0,4.878048780487805,4.878048780487805
1743029195.1771202,0.1,0.0,4.878048780487805,4.878048780487805
1743029195.1997054,0.1,0.0,4.878048780487805,4.878048780487805
1743029195.2275252,0.1,0.0,4.878048780487805,4.878048780487805
1743029195.2510262,0.1,0.0,4.878048780487805,4.878048780487805
1743029195.2530797,0.1,0.0,4.878048780487805,4.878048780487805
1743029195.2632604,0.1,0.0,4.878048780487805,4.878048780487805
1743029195.306031,0.1,0.0,4.878048780487805,4.878048780487805
1743029195.348326,0.1,0.0,4.878048780487805,4.878048780487805
1743029506.1639225,0.0,0.0,0.0,0.0
1743029506.2026525,0.0,0.0,0.0,0.0
